THAT,3400031103
THIS,3228469771
WITH,3183110675
FROM,2275595356
YOUR,2062066547
HAVE,1564202750
MORE,1544771673
WILL,1356293641
HOME,1276852170
PAGE,1082121730
FREE,1014107316
TIME,908705570
THEY,883223816
SITE,844310242
WHAT,812395582
NEWS,755424983
ONLY,661844114
WHEN,650621178
HERE,639711198
ALSO,616829742
HELP,611054034
VIEW,602279334
BEEN,575019382
WERE,570699558
SOME,548829454
LIKE,520585287
THAN,502609275
FIND,502043038
DATE,488967374
BACK,488024109
LIST,472590641
NAME,464532702
JUST,462836169
OVER,459222855
YEAR,451092583
INTO,445315294
NEXT,425903347
USED,421438139
WORK,419483948
LAST,417601616
MOST,416210411
DATA,406908328
MAKE,405084642
THEM,403000411
POST,392956436
CITY,390564835
SUCH,380725892
BEST,371852748
THEN,369928941
GOOD,365796396
WELL,362082755
INFO,352363058
HIGH,345413157
EACH,340892856
VERY,334923368
BOOK,330959949
READ,322331766
NEED,319376932
MANY,318966441
USER,316446229
SAID,315595259
DOES,314018806
MAIL,310337185
FULL,309929179
LIFE,306559205
KNOW,306100813
DAYS,305147791
PART,302729303
REAL,297674493
ITEM,296534935
MUST,292774716
MADE,287353021
LINE,280009597
SEND,274103587
TYPE,272336859
TAKE,264349801
AREA,259871557
WANT,258690345
LONG,252519588
CODE,250245121
SHOW,247541986
EVEN,245697701
MUCH,242326300
SIGN,242290578
FILE,241864251
LINK,240402653
OPEN,239670331
CASE,235563000
SAME,234822585
BOTH,228648541
GAME,227111505
CARE,225326739
DOWN,224915894
SIZE,214844153
SHOP,212793848
TEXT,208780080
RATE,207634179
FORM,201395192
LOVE,201063526
MAIN,199616754
CALL,199608869
SAVE,186091095
CARD,181387042
JOBS,181075605
FOOD,180144029
SALE,179224570
TEEN,176301486
ROOM,176299905
JOIN,174297802
WEST,173346868
LOOK,173043002
LEFT,171752631
TEAM,171687825
WEEK,167202060
NOTE,166657334
LIVE,166005029
PLAN,160746244
COST,158887256
TEST,154999587
COME,154326119
CART,152155277
PLAY,150748333
LESS,145430147
BLOG,145041426
PARK,141548802
SIDE,141155373
GIVE,140688602
SELL,137696613
BODY,136560842
EAST,135037085
CLUB,132428495
ROAD,131800620
GIFT,131417909
HARD,130054708
FOUR,129167110
BLUE,126160941
EASY,125548527
STAR,122498186
HAND,121296661
KEEP,119602514
PORN,119294962
BABY,117696064
TERM,116282824
FILM,116097842
HEAD,113316224
CELL,113067567
SELF,112902176
AWAY,112837472
ONCE,111882023
SURE,110528740
CARS,109717836
TELL,109553730
ABLE,109389038
GOLD,107497778
ARTS,106466033
PAST,105625616
